,C0000100,C0000200,C0005700,m_age_ya,m_HGC_ya,dad_distance_ya,HGC_ya
9927,1008101,10081,1979,15,2,55,
9928,1008102,10081,1980,17,2,1,
9929,1008103,10081,1986,22,2,0,
9930,1008104,10081,1987,23,2,0,
9931,1008105,10081,1989,25,2,0,
9932,1008601,10086,1985,22,5,55,
9933,1008602,10086,1989,27,5,0,
9934,1008801,10088,1983,19,5,5,
9935,1009201,10092,1979,21,5,0,
9936,1009202,10092,1981,24,5,0,
9937,1009301,10093,1978,18,5,5,
9938,1009302,10093,1979,20,5,0,
9939,1009501,10095,1984,19,3,1,
9940,1009502,10095,1986,21,3,1,
9941,1009503,10095,1987,22,3,1,
9942,1009701,10097,1981,19,4,0,
9943,1009702,10097,1983,22,4,0,
9944,1009703,10097,1988,26,4,0,
9945,1010101,10101,1976,15,2,0,
9946,1010102,10101,1978,16,2,0,
9947,1010103,10101,1986,25,2,0,
9948,1010104,10101,1989,28,2,0,
9949,1010401,10104,1976,18,4,0,
9950,1010402,10104,1977,19,4,0,
9951,1010403,10104,1985,27,4,55,
9952,1010404,10104,1986,28,4,55,
9953,1010601,10106,1983,19,5,0,3
9954,1010602,10106,1984,20,5,0,3
9955,1011201,10112,1970,13,,5,5
9956,1011202,10112,1976,19,,5,3
9957,1011203,10112,1977,20,,0,2
9958,1011204,10112,1979,22,,0,2
9959,1011301,10113,1975,15,3,5,2
9960,1011302,10113,1977,17,3,,3
9961,1011601,10116,1984,23,5,5,2
9962,1011701,10117,1977,19,4,5,
9963,1011702,10117,1980,21,4,5,
9964,1011901,10119,1978,21,4,0,
9965,1011902,10119,1985,28,4,0,
9966,1012501,10125,1990,32,6,5,3
9967,1012502,10125,1993,35,6,55,2
9968,1012701,10127,1980,20,7,5,4
9969,1012901,10129,1979,18,4,0,5
9970,1013001,10130,1989,30,5,5,4
9971,1013002,10130,2001,42,5,5,2
9972,1013201,10132,1980,18,6,0,4
9973,1013202,10132,1982,20,6,0,2
9974,1013501,10135,1982,20,5,5,4
9975,1013502,10135,1984,22,5,55,5
9976,1013503,10135,1988,26,5,5,2
9977,1013601,10136,1974,16,3,,
9978,1013602,10136,1976,19,3,55,
9979,1013801,10138,1995,34,6,0,7
9980,1014001,10140,1983,25,6,0,
9981,1014002,10140,1985,27,6,0,
9982,1014401,10144,1984,25,6,5,
9983,1014402,10144,1989,30,6,0,
9984,1014501,10145,1987,26,6,0,
9985,1014801,10148,1983,18,5,0,
9986,1014802,10148,1989,24,5,0,
9987,1014901,10149,1981,20,4,0,
9988,1014902,10149,1983,22,4,0,
9989,1015001,10150,1982,20,3,0,
9990,1015002,10150,1985,23,3,0,
9991,1015003,10150,1986,24,3,0,
9992,1015101,10151,1976,16,4,55,4
9993,1015301,10153,1999,38,7,0,
9994,1015601,10156,1985,23,5,5,5
9995,1015602,10156,1985,23,5,5,3
9996,1016201,10162,1987,23,6,5,4
9997,1016202,10162,1994,30,6,5,2
9998,1016401,10164,1975,17,5,0,3
9999,1016402,10164,1976,18,5,0,4
10000,1016601,10166,1977,19,5,0,7
10001,1016602,10166,1980,22,5,0,
10002,1016603,10166,1981,23,5,0,5
10003,1016801,10168,1984,24,5,0,3
10004,1016802,10168,1988,28,5,0,3
10005,1017501,10175,1978,18,6,0,3
10006,1017502,10175,1980,20,6,0,4
10007,1017503,10175,1984,23,6,0,3
10008,1017504,10175,1994,33,6,0,3
10009,1018101,10181,1983,20,5,5,4
10010,1018102,10181,1984,21,5,5,3
10011,1018103,10181,1985,22,5,55,3
10012,1018104,10181,1986,23,5,55,5
10013,1018201,10182,1974,17,5,5,5
10014,1018301,10183,1976,16,6,5,2
10015,1018302,10183,1977,18,6,5,5
10016,1018303,10183,1980,21,6,5,2
10017,1018304,10183,1986,27,6,5,3
10018,1018401,10184,1978,18,5,,2
10019,1018402,10184,1979,19,5,5,2
10020,1018403,10184,1983,23,5,5,2
10021,1018404,10184,1985,24,5,5,4
10022,1018501,10185,1982,23,6,5,3
10023,1018502,10185,1994,36,6,0,
10024,1018503,10185,1995,37,6,0,3
10025,1018801,10188,1987,29,6,55,2
10026,1018802,10188,1990,32,6,55,4
10027,1019101,10191,1979,16,5,5,3
10028,1019102,10191,1985,21,5,5,
10029,1019103,10191,1985,21,5,5,
10030,1019104,10191,1991,27,5,5,2
10031,1019105,10191,1991,27,5,5,4
10032,1019301,10193,1983,21,6,0,5
10033,1019302,10193,1988,27,6,0,4
10034,1019303,10193,1992,31,6,0,4
10035,1020301,10203,1980,19,6,5,4
10036,1020302,10203,1985,24,6,5,3
10037,1021001,10210,1985,21,5,5,
10038,1021002,10210,1987,24,5,5,
10039,1021003,10210,1989,25,5,5,
10040,1021101,10211,1979,18,6,55,5
10041,1021102,10211,1983,22,6,0,5
10042,1021103,10211,1992,30,6,0,4
10043,1021104,10211,1992,30,6,0,
10044,1021201,10212,1981,23,6,0,
