"R0000100","R0006500","R0007900","T9900000"
1450,-2,-2,9
1451,-2,-2,8
1452,6,6,8
1453,12,16,16
1454,9,7,12
1455,4,12,7
1456,12,11,12
1457,12,10,12
1458,-2,12,12
1459,7,6,14
1460,14,12,12
1461,-2,10,13
1462,10,10,12
1463,12,12,13
1464,7,-2,12
1465,10,-3,8
1466,12,-3,12
1467,-2,-2,7
1468,12,7,12
1469,-2,-2,12
1470,11,12,18
1471,10,6,8
1472,10,8,13
1473,12,16,12
1474,12,12,14
1475,17,16,14
1476,9,-2,13
1477,12,12,16
1478,-3,16,13
1479,13,17,18
1480,-2,-4,14
1481,12,8,16
1482,4,-2,14
1483,-2,-2,12
1484,7,12,13
1485,-3,-3,11
1486,12,10,12
1487,12,18,13
1488,-2,-2,12
1489,11,12,12
1490,10,11,12
1491,10,14,13
1492,12,10,14
1493,12,12,12
1494,12,9,13
1495,9,5,12
1496,12,12,16
1497,12,12,16
1498,12,18,12
1499,14,15,12
1500,6,9,12
1501,16,16,17
1502,16,16,16
1503,16,18,20
1504,15,-2,18
1505,18,14,15
1506,12,19,12
1507,14,16,12
1508,14,16,14
1509,13,12,17
1510,12,14,16
1511,12,14,18
1512,16,13,15
1513,16,14,12
1514,12,12,13
1515,12,11,12
1516,11,6,12
1517,8,12,12
1518,-2,12,12
1519,7,7,12
1520,-2,9,12
1521,12,10,12
1522,11,10,16
1523,12,8,12
1524,-2,-3,9
1525,11,-3,12
1526,12,16,13
1527,11,10,12
1528,-3,9,12
1529,6,12,13
1530,6,12,15
1531,13,12,12
1532,12,9,12
1533,4,-3,12
1534,12,10,14
1535,12,10,9
1536,12,10,10
1537,8,10,12
1538,13,8,18
1539,12,10,12
1540,6,6,16
1541,12,9,12
1542,12,7,12
1543,12,10,10
1544,11,11,12
1545,12,14,12
1546,10,12,12
1547,12,13,11
1548,10,10,10
1549,11,8,12
1550,12,12,12
1551,9,10,12
1552,10,12,16
1553,12,10,12
1554,12,14,12
1555,12,14,14
1556,12,14,12
1557,12,14,12
1558,12,14,14
1559,11,10,12
1560,12,18,12
1561,16,-4,15
1562,12,12,16
1563,15,8,18
1564,13,14,16
1565,13,14,18
1566,15,8,17
1567,12,13,14
1568,12,14,14
1569,12,12,16
1570,12,-2,12
1571,12,16,15
1572,16,16,16
1573,12,12,13
1574,12,15,16
1575,12,13,14
1576,12,13,12
1577,12,12,12
1578,-3,14,12
1579,-3,12,12
1580,12,12,12
1581,12,-4,12
1582,12,12,12
1583,12,13,12
1584,12,10,15
1585,16,13,12
1586,16,13,18
1587,16,17,16
1588,16,17,18
1589,12,12,16
1590,11,11,12
1591,11,11,12
1592,11,11,12
1593,12,10,12
1594,12,10,12
1595,12,12,12
1596,8,-2,11
1597,10,12,12
1598,10,12,14
1599,11,12,12
1600,8,-2,16
1601,12,12,16
1602,12,12,12
1603,13,13,17
1604,12,12,12
1605,13,14,12
1606,12,12,12
1607,11,11,12
1608,10,12,12
1609,5,10,12
1610,10,12,12
1611,12,12,16
1612,12,12,15
1613,12,12,16
1614,12,11,12
1615,12,11,12
1616,16,14,14
1617,12,12,12
1618,12,12,12
1619,12,8,18
1620,12,12,16
